id,name,city
https://www.bringfido.com/restaurant/60951,Bruegger's Bagels,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/36656,Vinny's Pizza,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60956,Cold Stone Creamery,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60988,Panera Bread,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60960,Crazy Mocha Coffee,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60947,Au Bon Pain,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60976,Jersey Mike's Subs,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60986,Panera Bread,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60954,Chipotle Mexican Grill,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60987,Panera Bread,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60962,Crazy Mocha Coffee,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60944,Aladdin's Eatery,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60950,Bruegger's Bagels,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60946,Aladdin's Eatery,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60991,Park Pizza & Cream,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60955,Chipotle Mexican Grill,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60964,Dairy Queen,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60959,Crazy Mocha Coffee,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60958,Crazy Mocha Coffee,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/31758,Betsy's Ice Cream,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60999,Rita's Italian Ice,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60952,Chipotle Mexican Grill,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/61000,Rita's Italian Ice,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/68690,Asia Tea House,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60963,Dairy Queen,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60957,Cold Stone Creamery,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/418,Hartwood Restaurant & Whispers Pub,"Glenshaw, PA"
https://www.bringfido.com/restaurant/420,Il Pizzaiolo,"Mount Lebanon, PA"
